# 青空文庫に出現する外字注記とUCSの対応一覧
# 
# ※ 括弧が対応していない等、極端に間違えているものは除外した。
# ※ 注記辞書にない注記でも、「／・＋」等を間違えている程度のものは採集して記載した。
# ※ 「－・-」は「－」に、「+」は「＋」に、「<」は「＜」に統一した。
# ※［…］の前後の「」の括弧の抜けは補完した。
# ※ IVSで表記可能なものは、Adobe-Japan1 を優先し、無いものに限り汎用電子も使用した。
# ※ 注記辞書の記法から逸れている表記には念のため「標準注記外」とコメントに付記した。
################################
# AozoraEpub3 Modified
#
# http://kanji-database.sourceforge.net/aozora/gaiji.html
# https://github.com/cjkvi/cjkvi-data/blob/master/aozora_gaiji_chuki.txt
# 上記から取得後以下の変換を行った
# 注記内 － を － に変換
# ・IVS文字は chuki_ivs.txt に移動
# ・2文字以上は濁点半濁点以外コメントアウト
# ・※で始まらない物はコメントアウトまたは読み込み時に除外
################################

#UCS	IVS	char	青空文庫記法	→コメント
U+09C6B		鱫	※［＃「魚＋愛」、第4水準2-93-88］
U+09C68		鱨	※［＃「魚＋嘗」］
U+09C6D		鱭	※［＃「魚＋齊」、第4水準2-93-89］
U+09C6E		鱮	※［＃「魚＋與」、第4水準2-93-90］
U+09C70		鱰	※［＃「魚＋署」の「者」に代えて「睹のつくり」、第4水準2-93-91］
U+04C99		䲙	※［＃「魚＋節」］
U+09C72		鱲	※［＃「魚＋鑞のつくり」、第4水準2-93-92］
U+09C75		鱵	※［＃「魚＋箴」、第4水準2-93-93］
U+09C77		鱷	※［＃「魚＋王の中の空白部に口が四つ」、第3水準1-94-55］
U+09C7A		鱺	※［＃「魚＋麗」、第4水準2-93-94］
U+09C7B		鱻	※［＃「魚＋（魚＋魚）」］
U+09CE6		鳦	※［＃「鳥＋乙」、第4水準2-94-1］
U+09CF2		鳲	※［＃「尸＋鳥」、第4水準2-94-2］
U+09CF7		鳷	※［＃「支＋鳥」］
U+09CF9		鳹	※［＃「今＋鳥」］
U+09D02		鴂	※［＃「刔のへん＋鳥」、第4水準2-94-4］
U+09D0B		鴋	※［＃「方＋鳥」、第4水準2-94-3］
U+29FCE		𩿎	※［＃「予＋鳥」、第4水準2-94-5］
U+04CC4		䳄	※［＃「此＋鳥」、第4水準2-94-10］
U+04CC7		䳇	※［＃「母＋鳥」］
U+09D11		鴑	※［＃「奴／鳥」、第4水準2-94-6］
U+09D17		鴗	※［＃「立＋鳥」、第4水準2-94-7］
U+09D18		鴘	※［＃「弁＋鳥」、第4水準2-94-8］
U+09D1C		鴜	※［＃「此／鳥」］
U+09D1D		鴝	※［＃「句＋鳥」、第3水準1-94-56］
U+09D1E		鴞	※［＃「号＋鳥」、第3水準1-94-57］
U+04CD1		䳑	※［＃「有＋鳥」、第4水準2-94-13］
U+09D2F		鴯	※［＃「而＋鳥」］
U+09D30		鴰	※［＃「舌＋鳥」］
U+09D32		鴲	※［＃「旨＋鳥」、第4水準2-94-12］
U+09D33		鴳	※［＃「安＋鳥」］
U+09D34		鴴	※［＃「行＋鳥」］
U+09D3A		鴺	※［＃「夷＋鳥」］
U+09D3C		鴼	※［＃「鳥＋各」］
U+09D3D		鴽	※［＃「如／鳥」］
U+09D42		鵂	※［＃「休＋鳥」、第4水準2-94-14］
U+09D43		鵃	※［＃「舟＋鳥」、第3水準1-94-58］
U+09D45		鵅	※［＃「各＋鳥」］
U+09D47		鵇	※［＃「年＋鳥」、第3水準1-94-59］
U+2A01A		𪀚	※［＃「鳥＋戎」、第4水準2-94-11］
U+2A02F		𪀯	※［＃「輝のへん＋鳥」、第4水準2-94-9］
U+09D4A		鵊	※［＃「夾＋鳥」、第4水準2-94-15］
U+09D52		鵒	※［＃「谷＋鳥」、第3水準1-94-60］
U+09D53		鵓	※［＃「勃のへん＋鳥」］
U+09D53		鵓	※［＃「孛＋鳥」］
U+09D54		鵔	※［＃「鳥＋俊のつくり」］
U+09D5F		鵟	※［＃「狂／鳥」、第4水準2-94-16］
U+09D62		鵢	※［＃「身＋鳥」、第4水準2-94-17］
U+09D63		鵣	※［＃「束＋鳥」、第3水準1-94-61］
U+09D65		鵥	※［＃「判／鳥」の「半」に代えて「絆のつくり」］
U+09D69		鵩	※［＃「服＋鳥」、第4水準2-94-19］
U+09D6A		鵪	※［＃「奄＋鳥」］
U+09D6B		鵫	※［＃「卓＋鳥」、第4水準2-94-20］
U+09D70		鵰	※［＃「蜩のつくり＋鳥」、第3水準1-94-62］
U+09D73		鵳	※［＃「（戸の旧字＋月）＋鳥」、第4水準2-94-22］
U+09D76		鵶	※［＃「亞＋鳥」、第4水準2-94-23］
U+09D77		鵷	※［＃「宛＋鳥」、第4水準2-94-24］
U+09D7B		鵻	※［＃「鳥＋隹」］
U+09D7C		鵼	※［＃「空＋鳥」、第3水準1-94-63］
U+09D7E		鵾	※［＃「昆＋鳥」、第4水準2-94-25］
U+09D83		鶃	※［＃「鳥＋兒」］
U+09D84		鶄	※［＃「靜のへん＋鳥」、第4水準2-94-26］
U+09D85		鶅	※［＃「緇のつくり＋鳥」］
U+09D86		鶆	※［＃「來＋鳥」］
U+09D8A		鶊	※［＃「庚＋鳥」、第3水準1-94-64］
U+09D8D		鶍	※［＃「易＋鳥」、第4水準2-94-27］
U+09D8E		鶎	※［＃「宗＋鳥」］
U+2A082		𪂂	※［＃「朝のへん＋鳥」、第4水準2-94-21］
##重複##U+2A0AC		𪂬	※［＃「虎＋鳥」の「儿」に代えて「几」］
U+2A0AC		𪂬	※［＃「虎＋鳥」］
U+09D92		鶒	※［＃「勅＋鳥」］
U+09D93		鶓	※［＃「苗＋鳥」］
U+09D95		鶕	※［＃「音＋鳥」］
U+09D96		鶖	※［＃「秋／鳥」、第3水準1-94-65］
U+09D97		鶗	※［＃「題」の「頁」に代えて「鳥」］
U+09D98		鶘	※［＃「胡＋鳥」］
U+09D99		鶙	※［＃「帝＋鳥」、第4水準2-94-28］
U+09DA1		鶡	※［＃「曷＋鳥」、第4水準2-94-29］
U+09DAA		鶪	※［＃「（目／犬）＋鳥」］
U+2A0F9		𪃹	※［＃「即／鳥」、第4水準2-94-18］
U+09DAC		鶬	※［＃「倉＋鳥」、第3水準1-94-67］
U+09DAE		鶮	※［＃「高＋鳥」］
U+09DB1		鶱	※［＃「塞」の「土」に代えて「鳥」］
U+09DB5		鶵	※［＃「芻＋鳥」、第4水準2-94-31］
U+09DB9		鶹	※［＃「（卯／田）＋鳥」、第4水準2-94-32］
U+09DBC		鶼	※［＃「賺のつくり＋鳥」、第3水準1-94-68］
U+09DBD		鶽	※［＃「隼＋鳥」、第4水準2-94-33］
U+09DBF		鶿	※［＃「慈」の「心」に代えて「鳥」、第4水準2-94-30］
U+09DC0		鷀	※［＃「滋のつくり＋鳥」、第3水準1-94-66］
U+09DC3		鷃	※［＃「晏＋鳥」、第4水準2-94-34］
U+09DC7		鷇	※［＃「轂」の「車」に代えて「鳥」、第4水準2-94-35］
U+09DC9		鷉	※［＃「褫のつくり＋鳥」、第4水準2-94-36］
U+09DCA		鷊	※［＃「鬲＋鳥」の「儿」に代えて「希－布」］
U+09DD4		鷔	※［＃「敖／鳥」］
U+09DD5		鷕	※［＃「唯／鳥」］
U+09DD6		鷖	※［＃「醫」の「酉」に代えて「鳥」、第4水準2-94-37］
U+09DD7		鷗	※［＃「區＋鳥」、第3水準1-94-69］	→［78互換包摂鴎］
U+09DDA		鷚	※［＃「膠のつくり＋鳥」、第4水準2-94-38］
U+09DDE		鷞	※［＃「爽＋鳥」］
U+09DDF		鷟	※［＃「族／鳥」、第4水準2-94-39］
U+09DE3		鷣	※［＃「譚のつくり＋鳥」、第4水準2-94-41］
U+09DE5		鷥	※［＃「絲／鳥」］
U+09DE7		鷧	※［＃「懿のへん＋鳥」、第3水準1-94-71］
U+09DE9		鷩	※［＃「敝／鳥」］
U+09DEB		鷫	※［＃「肅＋鳥」］
U+09DEE		鷮	※［＃「喬＋鳥」］
U+09DF0		鷰	※［＃「燕」の「れんが」の代えて「鳥」］
U+09DF3		鷳	※［＃「燗のつくり＋鳥」］
U+09DF4		鷴	※［＃「閑＋鳥」、第4水準2-94-42］
U+09DFC		鷼	※［＃「間＋鳥」］
U+2A190		𪆐	※［＃「集＋鳥」、第3水準1-94-70］
U+04D07		䴇	※［＃「零＋鳥」、第4水準2-94-43］
U+09DFE		鷾	※［＃「意＋鳥」］
U+09DFF		鷿	※［＃「辟／鳥」］
U+09E02		鸂	※［＃「さんずい＋鷄」、第4水準2-94-45］
U+09E05		鸅	※［＃「（睾－丿）＋鳥」］
U+09E06		鸆	※［＃「虞＋鳥」の「呉」に代えて「蜈のつくり」］
U+09E06		鸆	※［＃「虞＋鳥」］
U+09E07		鸇	※［＃「顫のへん＋鳥」、第3水準1-94-72］
U+09E0A		鸊	※［＃「辟＋鳥」、第4水準2-94-44］
U+09E0D		鸍	※［＃「爾＋鳥」、第4水準2-94-46］
U+09E0E		鸎	※［＃「嬰」の「女」に代えて「鳥」］
U+09E10		鸐	※［＃「櫂のつくり＋鳥」］
U+09E11		鸑	※［＃「獄／鳥」］
U+09E12		鸒	※［＃「與／鳥」］
U+09E15		鸕	※［＃「顱のへん＋鳥」、第3水準1-94-73］
U+09E16		鸖	※［＃「霍＋鳥」］
U+09E19		鸙	※［＃「龠＋鳥」、第4水準2-94-47］
U+09E1C		鸜	※［＃「瞿＋鳥」、第4水準2-94-48］
U+09E1D		鸝	※［＃「麗＋鳥」、第4水準2-94-49］
U+2A269		𪉩	※［＃「（土へん＋鹵）／皿」］
U+09E7A		鹺	※［＃「鹵＋差」］
U+09E7B		鹻	※［＃「鹵＋賺のつくり」、第4水準2-94-50］
U+09E7C		鹼	※［＃「鹵＋僉」、第3水準1-94-74］	→［78互換包摂鹸］
U+09E80		麀	※［＃「塵」の「土」に代えて「叱のつくり」、第4水準2-94-52］
U+09E82		麂	※［＃「鹿／几」］
U+09E83		麃	※［＃「塵」の「土」に代えて「れんが」］
U+09E84		麄	※［＃「扮のつくり／塵」］
U+09E85		麅	※［＃「鹿／鉋のつくり」、第4水準2-94-53］
U+09E87		麇	※［＃「塵」の「土」に代えて「禾」］
U+09E8E		麎	※［＃「塵」の「土」に代えて「辰」］
U+09E8E		麎	※［＃「鹿／辰」］
U+09E8F		麏	※［＃「塵」の「土」に代えて「君」］
U+09E96		麖	※［＃「塵」の「土」に代えて「京」］
U+09E98		麘	※［＃「塵」の「土」に代えて「香」］
U+09E9A		麚	※［＃「鹿／（暇－日）」］
U+09E9B		麛	※［＃「塵」の「土」に代えて「弭」、第4水準2-94-54］
U+09E9E		麞	※［＃「鹿／章」、第3水準1-94-75］
U+2A2DE		𪋞	※［＃「鹿＋鳥」］
U+09EA3		麣	※［＃「鹿＋嚴」］
U+09EA4		麤	※［＃「鹿／（鹿＋鹿）」、第3水準1-94-76］
U+09EA8		麨	※［＃「麩」の「夫」に代えて「少」、第4水準2-94-55］
U+09EAC		麬	※［＃「麥＋皮」、第3水準1-94-77］
U+09EAE		麮	※［＃「麥＋去」］
U+09EAF		麯	※［＃「麩」の「夫」に代えて「曲」、第3水準1-94-78］
U+09EB0		麰	※［＃「麩」の「夫」に代えて「牟」］
U+2A38C		𪎌	※［＃「麸」の「夫」に代えて「来」、第4水準2-94-56］
U+09EB3		麳	※［＃「麥＋來」］
U+09EB4		麴	※［＃「麭」の「巳」に代えて「米」、第3水準1-94-79］	→［78互換包摂麹］
U+09EB5		麵	※［＃「麩」の「夫」に代えて「面」、第3水準1-94-80］	→［78互換包摂麺］
U+09EBD		麽	※［＃「麾」の「毛」に代えて「公の右上の欠けたもの」、第4水準2-94-57］
U+09EC3		黃	※［＃「廣－广」、第3水準1-94-81］	→［包摂適用　黄］141
U+09EC6		黆	※［＃「（廣－广）＋沈のつくり」］
U+09EC8		黈	※［＃「（廣－广）＋（麈－鹿）」］
U+09ECB		黋	※［＃「光のにょうの形＋（廣－广）」］
U+2A3D9		𪏙	※［＃「穀」の「禾」に代えて「黄」］
U+09ED1		黑	※［＃「黨－尚」、第3水準1-94-82］	→［包摂適用　黒］99
U+09ED5		黕	※［＃「黯のへん＋沈のつくり」］
U+2A437		𪐷	※［＃「黯のへん＋玄」、第4水準2-94-58］
U+09EDF		黟	※［＃「黯のへん＋多」、第4水準2-94-59］
U+09EE4		黤	※［＃「黯のへん＋奄」］
U+09EE7		黧	※［＃「犂」の「牛」に代えて「黨－尚」、第4水準2-94-60］
U+09EEC		黬	※［＃「黯のへん＋咸」］
U+09EED		黭	※［＃「黯のへん＋（合／廾）」］
U+09EEE		黮	※［＃「黯のへん＋甚」、第4水準2-94-61］
U+09EF0		黰	※［＃「黯のへん＋眞」］
U+09EF1		黱	※［＃「縢」の「糸」に代えて「黨－尚」］
U+09EF2		黲	※［＃「黯のへん＋參」］
U+09EF5		黵	※［＃「黯のへん＋譫のつくり」］
U+09EF8		黸	※［＃「黯のへん＋盧」］
U+09EFF		黿	※［＃「元／黽」、第4水準2-94-62］
U+09F02		鼂	※［＃「鼈」の「敝」に代えて「旦」、第4水準2-94-63］
U+04D77		䵷	※［＃「卦のへん＋黽」、第4水準2-94-64］
U+09F03		鼃	※［＃「鼈」の「敝」に代えて「圭」、第4水準2-94-65］
U+09F09		鼉	※［＃「（口＋口）／田／一／黽」］
U+09F0F		鼏	※［＃「冖／鼎」］
U+09F10		鼐	※［＃「乃／鼎」、第3水準1-94-83］
U+09F11		鼑	※［＃「占」の「口」に代えて「鼎」］
U+09F12		鼒	※［＃「才／鼎」］
U+09F14		鼔	※［＃「鼓」の「支」に代えて「攴」］
U+09F16		鼖	※［＃「賁」の「貝」に代えて「鼓」］
U+09F17		鼗	※［＃「兆／鼓」、第4水準2-94-66］
U+2A51B		𪔛	※［＃「鼓／兆」］
U+09F19		鼙	※［＃「鼓／婢のつくり」、第4水準2-94-67］
U+09F1A		鼚	※［＃「鼓／長」］
U+09F1B		鼛	※［＃「鼓／咎」の「人」に代えて「占－口」］
U+09F1F		鼟	※［＃「鼓／登」］
U+09F22		鼢	※［＃「鼠＋扮のつくり」］
U+09F26		鼦	※［＃「鼬」の「由」に代えて「召」］
U+09F2A		鼪	※［＃「鼬」の「由」に代えて「生」］
U+09F2B		鼫	※［＃「鼬」の「由」に代えて「石」］
U+2A550		𪕐	※［＃「鼠＋占」］
U+09F2F		鼯	※［＃「鼬」の「由」に代えて「吾」、第4水準2-94-68］
U+09F31		鼱	※［＃「鼠＋睛のつくり」］
U+09F32		鼲	※［＃「鼠＋軍」］
U+09F34		鼴	※［＃「鼠＋（偃－イ）」］
U+09F34		鼴	※［＃「鼬」の「由」にかえて「偃」のつくり］
U+09F34		鼴	※［＃「鼬」の「由」に代えて「偃のつくり」］
U+2A571		𪕱	※［＃「鼬」の「由」に代えて「胡」］
U+04D89		䶉	※［＃「鼬」の「由」に代えて「留」］
U+09F37		鼷	※［＃「鼬」の「由」に代えて「奚」、第4水準2-94-69］
U+09F39		鼹	※［＃「鼬」の「由」に代えて「晏」、第3水準1-94-84］
U+09F3A		鼺	※［＃「鼠＋儡のつくり」、第4水準2-94-70］
U+09F3C		鼼	※［＃「鼾のへん＋（収－又）」］
U+09F3D		鼽	※［＃「鼾のへん＋九」、第4水準2-94-71］
U+09F3F		鼿	※［＃「鼾のへん＋兀」］
U+09F41		齁	※［＃「鼾のへん＋句」、第4水準2-94-72］
U+09F43		齃	※［＃「鼾のへん＋曷」］
U+09F44		齄	※［＃「鼾のへん＋査」］
U+09F45		齅	※［＃「鼾のへん＋嗅のつくり」、第4水準2-94-73］
U+09F46		齆	※［＃「鼾のへん＋（巛／邑）」、第4水準2-94-74］
U+09F47		齇	※［＃「鼾のへん＋虎」の「儿」に代えて「且」］
U+09F53		齓	※［＃「齒＋礼のつくり」、第4水準2-94-75］
U+09F55		齕	※［＃「齒＋乞」、第4水準2-94-76］
U+09F56		齖	※［＃「齒＋冴のつくり」］
U+09F57		齗	※［＃「齒＋斤」、第3水準1-94-85］
U+09F58		齘	※［＃「齒＋介」、第4水準2-94-77］
U+09F5A		齚	※［＃「齒＋乍」］
U+09F5D		齝	※［＃「齒＋台」、第4水準2-94-79］
U+09F5E		齞	※［＃「齒＋只」］
U+2A5F1		𪗱	※［＃「齒＋且」、第4水準2-94-78］
U+09F68		齨	※［＃「齒＋臼」］
U+09F69		齩	※［＃「齒＋皎のつくり」、第4水準2-94-81］
U+2A61A		𪘚	※［＃「齒＋吾」、第4水準2-94-82］
U+09F6D		齭	※［＃「齒＋（戸の旧字＋斤）」、第4水準2-94-83］
U+09F6E		齮	※［＃「齒＋奇」］
U+09F6F		齯	※［＃「齒＋兒」］
U+09F70		齰	※［＃「齒＋昔」、第4水準2-94-84］
U+09F71		齱	※［＃「齒＋諏のつくり」］
U+09F73		齳	※［＃「齒＋軍」］
U+09F75		齵	※［＃「齒＋禺」、第4水準2-94-85］
U+09F7A		齺	※［＃「齒＋芻」］
U+09F7D		齽	※［＃「齒＋禁」］
U+09F8E		龎	※［＃「厂＋龍」］
U+09F8F		龏	※［＃「龍／廾」］
U+09F91		龑	※［＃「龍／天」］
U+09F92		龒	※［＃「龍／示」］
U+09F94		龔	※［＃「龍／共」、第3水準1-94-87］
U+09F96		龖	※［＃「龍＋龍」］
U+09F97		龗	※［＃「靈」の「巫」に代えて「龍」、第3水準1-94-88］
U+2A6B2		𪚲	※［＃「月＋亀」、第4水準2-94-86］
U+09F9E		龞	※［＃「敝／龜」］
U+09FA1		龡	※［＃「龠＋欠」］
U+09FA2		龢	※［＃「龠＋禾」、第3水準1-94-89］
U+09FA3		龣	※［＃「龠＋碌のつくり」］
U+09FA5		龥	※［＃「龠＋頁」］

#【記述記号】
U+0203C		‼	※［＃感嘆符二つ、1-8-75］
#		!!!     ※［＃感嘆符三つ］
U+02047		⁇	※［＃疑問符二つ、1-8-76］
U+02048		⁈	※［＃疑問符感嘆符、1-8-77］
U+02049		⁉	※［＃感嘆符疑問符、1-8-78］
U+000A1		¡	※［＃逆感嘆符、1-9-3］
U+000BF		¿	※［＃逆疑問符、1-9-22］
#		?!	※［＃疑問符一つ感嘆符二つ］

#【括弧記号】
U+0FF5F		｟	※［＃始め二重括弧、1-2-54］
U+0FF60		｠	※［＃終わり二重括弧、1-2-55］
U+03018		〘	※［＃始め二重きっこう（亀甲）括弧、1-2-56］
U+03019		〙	※［＃終わり二重きっこう（亀甲）括弧、1-2-57］
U+03016		〖	※［＃始めすみ付き括弧（白）、1-2-58］
U+03017		〗	※［＃終わりすみ付き括弧（白）、1-2-59］
U+000AB		«	※［＃始め二重山括弧引用記号、始めギュメ、1-9-8］
U+000BB		»	※［＃終わり二重山括弧引用記号、終わりギュメ、1-9-18］

#【準仮名・漢字】
U+0303B		〻	※［＃二の字点、1-2-22］
U+0303B	U+03099	〻゙	※［＃濁点付き二の字点］
U+0303C		〼	※［＃ます記号、1-2-23］
U+030FF		ヿ	※［＃コト、1-2-24］
U+030FF		ヿ	※［＃「こと」の合字］
U+0309F		ゟ	※［＃より、1-2-25］
U+04E95	U+03099	井゙	※［＃「井に濁点」］

#【ひらがな】
U+03095		ゕ	※［＃小書き平仮名か、1-4-85］
U+03096		ゖ	※［＃小書き平仮名け、1-4-86］
#			※［＃小書き平仮名こ］
#			※［＃小書き平仮名た］
#			※［＃小書き平仮名な］
#			※［＃小書き平仮名ゑ］
#			※［＃小書き平仮名ん］
U+03094		ゔ	※［＃濁点付き平仮名う、1-4-84］
U+03048	U+03099	え゙	※［＃濁点付き平仮名え］
U+03063	U+03099	っ゙	※［＃濁点付き小書き平仮名つ］
U+0304B	U+0309A	か゚	※［＃半濁点付き平仮名か、1-4-87］
U+0304D	U+0309A	き゚	※［＃半濁点付き平仮名き、1-4-88］
U+0304F	U+0309A	く゚	※［＃半濁点付き平仮名く、1-4-89］
U+03051	U+0309A	け゚	※［＃半濁点付き平仮名け、1-4-90］
U+03053	U+0309A	こ゚	※［＃半濁点付き平仮名こ、1-4-91］
U+03094		ゔ	※［＃［＃「ぞ」は底本では「濁点付き平仮名う」］

#【カタカナ】
U+030A2	U+03099	ア゙	※［＃濁点付き片仮名ア］
#			※［＃小書き片仮名ヲ］
U+030F5	U+03099	ヵ゙	※［＃小書き片仮名ガ］
U+031F0		ㇰ	※［＃小書き片仮名ク、1-6-78］
U+031F1		ㇱ	※［＃小書き片仮名シ、1-6-79］
U+031F2		ㇲ	※［＃小書き片仮名ス、1-6-80］
#			※［＃小書き片仮名タ］
#			※［＃小書き片仮名チ］
U+031F3		ㇳ	※［＃小書き片仮名ト、1-6-81］
U+031F4		ㇴ	※［＃小書き片仮名ヌ、1-6-82］
#			※［＃小書き片仮名ノ］
U+031F5		ㇵ	※［＃小書き片仮名ハ、1-6-83］
U+031F6		ㇶ	※［＃小書き片仮名ヒ、1-6-84］
U+031F7		ㇷ	※［＃小書き片仮名フ、1-6-85］
U+031F8		ㇸ	※［＃小書き片仮名ヘ、1-6-86］
U+031F9		ㇹ	※［＃小書き片仮名ホ、1-6-87］
#			※［＃小書き片仮名マ］
U+031FA		ㇺ	※［＃小書き片仮名ム、1-6-89］
U+031FB		ㇻ	※［＃小書き片仮名ラ、1-6-90］
U+031FC		ㇼ	※［＃小書き片仮名リ、1-6-91］
U+031FD		ㇽ	※［＃小書き片仮名ル、1-6-92］
U+031FE		ㇾ	※［＃小書き片仮名レ、1-6-93］
U+031FF		ㇿ	※［＃小書き片仮名ロ、1-6-94］
#			※［＃小書き片仮名ン］
#			※［＃小書き片仮名ヰ］
#			※［＃小書き片仮名ヱ］
U+030E9	U+03099	ラ゙	※［＃濁点付き片仮名ラ］
U+030F7		ヷ	※［＃濁点付き片仮名ワ、1-7-82］
U+030F8		ヸ	※［＃濁点付き片仮名ヰ、1-7-83］
U+030F9		ヹ	※［＃濁点付き片仮名ヱ、1-7-84］
U+030FA		ヺ	※［＃濁点付き片仮名ヲ、1-7-85］
U+030AB	U+0309A	カ゚	※［＃半濁点付き片仮名カ、1-5-87］
U+030AD	U+0309A	キ゚	※［＃半濁点付き片仮名キ、1-5-88］
U+030AF	U+0309A	ク゚	※［＃半濁点付き片仮名ク、1-5-89］
U+030B1	U+0309A	ケ゚	※［＃半濁点付き片仮名ケ、1-5-90］
U+030B3	U+0309A	コ゚	※［＃半濁点付き片仮名コ、1-5-91］
U+030BB	U+0309A	セ゚	※［＃半濁点付き片仮名セ、1-5-92］
U+030C4	U+0309A	ツ゚	※［＃半濁点付き片仮名ツ、1-5-93］
U+030C8	U+0309A	ト゚	※［＃半濁点付き片仮名ト、1-5-94］
U+030E9	U+0309A	ラ゚	※［＃半濁点付き片仮名ラ］
U+031F7	U+0309A	ㇷ゚	※［＃半濁点付き小書き片仮名フ、1-6-88］

#【丸付き平仮名】
#U+03042	U+020DD	あ⃝	※［＃丸あ］
#U+03044	U+020DD	い⃝	※［＃丸い］
#U+03093	U+020DD	ん⃝	※［＃丸ん］

#【丸付き片仮名】
U+032D0		㋐	※［＃丸ア、1-12-59］
U+032D1		㋑	※［＃丸イ、1-12-60］
U+032D2		㋒	※［＃丸ウ、1-12-61］
U+032D3		㋓	※［＃丸エ、1-12-62］
U+032D4		㋔	※［＃丸オ、1-12-63］
U+032D5		㋕	※［＃丸カ、1-12-64］
U+032D6		㋖	※［＃丸キ、1-12-65］
U+032D7		㋗	※［＃丸ク、1-12-66］
U+032D8		㋘	※［＃丸ケ、1-12-67］
U+032D9		㋙	※［＃丸コ、1-12-68］
U+032DA		㋚	※［＃丸サ、1-12-69］
U+032DB		㋛	※［＃丸シ、1-12-70］
U+032DC		㋜	※［＃丸ス、1-12-71］
U+032DD		㋝	※［＃丸セ、1-12-72］
U+032DE		㋞	※［＃丸ソ、1-12-73］
U+032DF		㋟	※［＃丸タ、1-12-74］
U+032E0		㋠	※［＃丸チ、1-12-75］
U+032E1		㋡	※［＃丸ツ、1-12-76］
U+032E2		㋢	※［＃丸テ、1-12-77］
U+032E3		㋣	※［＃丸ト、1-12-78］
U+032E4		㋤	※［＃丸ナ］
U+032E5		㋥	※［＃丸ニ、1-12-81］
U+032E6		㋦	※［＃丸ヌ］
U+032E7		㋧	※［＃丸ネ］
U+032E8		㋨	※［＃丸ノ］
U+032E9		㋩	※［＃丸ハ、1-12-80］
U+032EA		㋪	※［＃丸ヒ］
U+032EB		㋫	※［＃丸フ］
U+032EC		㋬	※［＃丸ヘ、1-12-83］
U+032ED		㋭	※［＃丸ホ、1-12-82］
U+032EE		㋮	※［＃丸マ］
U+032EF		㋯	※［＃丸ミ］
U+032F0		㋰	※［＃丸ム］
U+032F1		㋱	※［＃丸メ］
U+032F2		㋲	※［＃丸モ］
U+032F3		㋳	※［＃丸ヤ］
U+032F4		㋴	※［＃丸ユ］
U+032F5		㋵	※［＃丸ヨ］
U+032F6		㋶	※［＃丸ラ］
U+032F7		㋷	※［＃丸リ］
U+032F8		㋸	※［＃丸ル］
U+032F9		㋹	※［＃丸レ］
U+032FA		㋺	※［＃丸ロ、1-12-79］
U+032FB		㋻	※［＃丸ワ］
U+032FC		㋼	※［＃丸ヰ］
U+032FD		㋽	※［＃丸ヱ］
U+032FE		㋾	※［＃丸ヲ］
#U+030F3	U+020DD	ン⃝	※［＃丸ン］

#【装飾漢字】
#U+0322A		㈪	(月)［＃「(月)」は縦中横］
#U+0322B		㈫	(火)［＃「(火)」は縦中横］
#U+0322C		㈬	(水)［＃「(水)」は縦中横］
#U+0322D		㈭	(木)［＃「(木)」は縦中横］
#U+0322E		㈮	(金)［＃「(金)」は縦中横］
#U+0322F		㈯	(土)［＃「(土)」は縦中横］
#U+03230		㈰	(日)［＃「(日)」は縦中横］
U+03231		㈱	※［＃全角括弧付き株、1-13-74］
U+03232		㈲	※［＃全角括弧付き有、1-13-75］
U+03239		㈹	※［＃全角括弧付き代、1-13-76］
#U+03233		㈳	(社)［＃「(社)」は縦中横］
#U+03234		㈴	(名)［＃「(名)」は縦中横］
#U+03235		㈵	(特)［＃「(特)」は縦中横］
#U+03236		㈶	(財)［＃「(財)」は縦中横］
#U+03237		㈷	(祝)［＃「(祝)」は縦中横］
#U+03238		㈸	(労)［＃「(労)」は縦中横］
#U+0323A		㈺	(呼)［＃「(呼)」は縦中横］
#U+0323B		㈻	(学)［＃「(学)」は縦中横］
#U+0323C		㈼	(監)［＃「(監)」は縦中横］
#U+0323D		㈽	(企)［＃「(企)」は縦中横］
#U+0323E		㈾	(資)［＃「(資)」は縦中横］
#U+0323F		㈿	(協)［＃「(協)」は縦中横］
#U+03240		㉀	(祭)［＃「(祭)」は縦中横］
#U+03241		㉁	(休)［＃「(休)」は縦中横］
#U+03242		㉂	(自)［＃「(自)」は縦中横］
#U+03243		㉃	(至)［＃「(至)」は縦中横］
U+032A4		㊤	※［＃丸付き上、1-13-69］
U+032A5		㊥	※［＃丸付き中、1-13-70］
U+032A6		㊦	※［＃丸付き下、1-13-71］
U+032A7		㊧	※［＃丸付き左、1-13-72］
U+032A8		㊨	※［＃丸付き右、1-13-73］
U+0328A		㊊	※［＃丸月］
U+0328B		㊋	※［＃丸火］
U+0328C		㊌	※［＃丸水］
U+0328D		㊍	※［＃丸木］
U+0328E		㊎	※［＃丸金、屋号を示す記号］
U+0328F		㊏	※［＃丸土］
U+03290		㊐	※［＃丸日］
U+03291		㊑	※［＃丸株］
U+03292		㊒	※［＃丸有］
U+03293		㊓	※［＃丸社］
U+03294		㊔	※［＃丸名］
U+03295		㊕	※［＃丸特］
U+03296		㊖	※［＃丸財］
U+03297		㊗	※［＃丸祝］
U+03298		㊘	※［＃丸労］
U+03299		㊙	※［＃丸秘］
U+0329A		㊚	※［＃丸男］
U+0329B		㊛	※［＃丸女］
U+0329C		㊜	※［＃丸適］
U+0329D		㊝	※［＃丸優］
U+0329E		㊞	※［＃丸印］
